,entity_name_digi,entity_name,value,cor_value,is_equal,is_substring,sequence_matcher,levenshtein_dist,category,pdf_name,word_len,levenshtein_dist_perc,ocr_mistake,ner_mistake
0,bank_account,bank_account,154197280,154197280,1,1,1.0,0,code,1709635,9,0.0,False,False
1,bic,bic,RZBAATWW,RZBAATWW,1,1,1.0,0,code,1709635,8,0.0,False,False
2,bic,bic,RZBAATWW,RZBAATWW,1,1,1.0,0,code,1709635,8,0.0,False,False
3,currency,currency,EUR,EUR,1,1,1.0,0,misc,1709635,3,0.0,False,False
4,due_date,date_due,2020-03-27,2020-03-27,1,1,1.0,0,date,1709635,10,0.0,False,False
5,issue_date,date_issue,2020-03-10,~10.03.2020,0,0,0.38095238095238093,8,date,1709635,10,0.8,True,False
6,taxable_supply_date,date_uzp,2020-03-10,2020-03-10,1,1,1.0,0,date,1709635,10,0.0,False,False
7,description,description,FAKTURUJEME VÁM VÍCENÁKLADY K REKLAMACI č. 200077181 NÁHRADA ŠKODY,(FAKTURUJEME VÁM VICENAKLADY K REKLAMACI,0,0,0.6981132075471698,30,text,1709635,66,0.45454545454545453,True,False
8,exchange_rate,exchange_rate,"25,39000","25,39000",1,1,1.0,0,misc,1709635,8,0.0,False,False
9,iban,iban,AT473100000154197280,AT473100000154197280,1,1,1.0,0,code,1709635,20,0.0,False,False
10,invoice_id,invoice_id,92229877,92229877,1,1,1.0,0,code,1709635,8,0.0,False,False
11,invoice_id,invoice_id,92229877,92229877,1,1,1.0,0,code,1709635,8,0.0,False,False
12,order_id,order_id,200077181,200077181,1,1,1.0,0,code,1709635,9,0.0,False,False
13,recipient_address,recipient_address,Jiráskova 528/51 293 01 Mladá Boleslav,293 01 Mladá Boleslav,0,1,0.711864406779661,17,text,1709635,38,0.4473684210526316,True,False
14,recipient_tax_id,recipient_dic,CZ28978013,,0,1,0.0,10,code,1709635,10,1.0,False,True
15,recipient_register_id,recipient_ic,28978013,28978013,1,1,1.0,0,code,1709635,8,0.0,False,False
16,recipient_name,recipient_name,HOLLEN CZ s.r.o.,HHOLLEN CZ s.r.o.,0,1,0.9696969696969697,1,text,1709635,16,0.0625,True,False
17,sender_address,sender_address,Kubelíkova 604/73 604/73 460 06 LIBEREC 6 -Rochlice,460 06 LIBEREC 6 -Rochlice,0,1,0.6753246753246753,25,text,1709635,51,0.49019607843137253,True,False
18,sender_tax_id,sender_dic,CZ26195348,CZ26195348,1,1,1.0,0,code,1709635,10,0.0,False,False
19,sender_register_id,sender_ic,26195348,26195348,1,1,1.0,0,code,1709635,8,0.0,False,False
20,sender_name,sender_name,Magna Exteriors (Bohemia) s.r.o.,Magna Exteriorg (Bohemia) s.r.o.,0,0,0.96875,1,text,1709635,32,0.03125,True,False
21,total_base,total_amount_base,150.00,,0,1,0.0,6,amount,1709635,6,1.0,False,True
22,total_due,total_amount_due,150.00,150.00,1,1,1.0,0,amount,1709635,6,0.0,False,False
23,total_incl_tax,total_amount_incl_tax,150.00,150.00,1,1,1.0,0,amount,1709635,6,0.0,False,False
24,total_tax,total_amount_tax,0.00,,0,1,0.0,4,amount,1709635,4,1.0,False,True
0,bank_account,bank_account,2002490102/2600,2002490102/2600,1,1,1.0,0,code,1933338,15,0.0,False,False
1,bank_account,bank_account,2002490401/2600,2002490401/2600,1,1,1.0,0,code,1933338,15,0.0,False,False
2,bank_account,bank_account,2002490807/2600,2002490807/2600,1,1,1.0,0,code,1933338,15,0.0,False,False
3,bic,bic,CITICZPX,CITICZPX,1,1,1.0,0,code,1933338,8,0.0,False,False
4,currency,currency,EUR,EUR,1,1,1.0,0,misc,1933338,3,0.0,False,False
5,due_date,date_due,2020-07-20,2020-07-20,1,1,1.0,0,date,1933338,10,0.0,False,False
6,due_date,date_due,2020-07-20,2007-07-20,0,0,0.9,2,date,1933338,10,0.2,True,False
7,issue_date,date_issue,2020-04-21,2020-04-21,1,1,1.0,0,date,1933338,10,0.0,False,False
8,issue_date,date_issue,2020-04-21,2020-04-21,1,1,1.0,0,date,1933338,10,0.0,False,False
9,exchange_rate,exchange_rate,"2,73250X10CZK","2,73250X1OCZK",0,0,0.9230769230769231,1,misc,1933338,13,0.07692307692307693,True,False
10,iban,iban,CZ3726000000002002490401,CZ3726000000002002490401,1,1,1.0,0,code,1933338,24,0.0,False,False
11,iban,iban,CZ3626000000002002490807,CZ3626000000002002490807,1,1,1.0,0,code,1933338,24,0.0,False,False
12,invoice_id,invoice_id,9202753902,9202753902,1,1,1.0,0,code,1933338,10,0.0,False,False
13,invoice_id,invoice_id,9202753902,9202753902,1,1,1.0,0,code,1933338,10,0.0,False,False
14,order_id,order_id,4010264408,4010264408,1,1,1.0,0,code,1933338,10,0.0,False,False
15,order_id,order_id,4010264408,4010264408,1,1,1.0,0,code,1933338,10,0.0,False,False
